id,user_id,caption,viewcount,created_at,updated_at,draft,demoted,hidden,front
155,3,"@CookingForGeeks sparks a food-hacking movement and will be at SXSW.",191,"2010-03-08 06:12:20","2010-06-12 10:42:06",f,f,f,t
288,4,"Gulf of Mexico oil spill threatens to change landscape of America in more than one way",184,"2010-04-30 22:20:50","2010-06-13 22:22:48",f,f,f,t
248,3,"Iceland eruption: We saw it coming, tourists died chasing it, yet feels like surprising shock.",179,"2010-04-19 18:08:47","2010-06-16 19:18:05",f,f,f,t
282,67,"The Arizona Immigration Bill Controversy",134,"2010-04-28 03:19:15","2010-06-16 04:08:19",f,f,f,t
175,3,"#SXSW may grill Tarantino about romantic comedy (!) coming after recent Oscar nomination.",124,"2010-03-12 14:15:45","2010-06-12 17:14:02",f,f,f,t
157,3,"Web-savvy health care professionals?  Really?  Only at #SXSW.",117,"2010-03-08 06:37:53","2010-06-13 20:32:43",f,f,f,t
146,3,"Battledecks: The SXSW improv institution since 2006.",88,"2010-03-07 04:05:20","2010-06-15 08:22:10",f,f,f,t
271,28,"The iPhone 4G controversy",84,"2010-04-22 05:54:09","2010-06-13 17:29:03",f,f,f,t
254,29,"Korean battleship sunk in Yellow sea: ""Violation of territorial waters"" happened in disputed area?",80,"2010-04-20 16:58:46","2010-06-15 21:57:05",f,f,f,t
330,29,"US Marine base in Okinawa dispute: Is relocation imminent?",78,"2010-05-06 22:52:23","2010-06-14 08:33:54",f,f,f,t
141,47,"What's the future of Internet journalism - SXSW panel on Citizentube",77,"2010-03-07 03:25:51","2010-06-05 23:14:08",f,f,f,t
139,3,"Social gaming at SXSW 2010: lightweight, low-fi, ridiculous, addictive, and insanely profitable.",76,"2010-03-07 03:04:14","2010-06-11 00:26:48",f,f,f,t
286,29,"""If North Korea is involved..."" - even greater Korean tensions after a month of controversy...",70,"2010-04-30 00:18:44","2010-06-15 08:57:20",f,f,f,t
275,3,"Chinese pirate h/w often one-up originals; only a matter of time before you start preferring them?",63,"2010-04-26 21:00:14","2010-06-07 06:59:29",f,f,f,t
301,4,"Ramping up with Ruby on Rails, tutorials for a new Rails developer",56,"2010-05-03 22:17:35","2010-06-16 06:04:03",f,f,f,t
302,102,"iPhone vs. Flash",51,"2010-05-03 23:24:19","2010-06-16 06:03:31",f,f,f,t
153,51,"Highlights from the history of SXSW from 1997 to 2010",45,"2010-03-07 23:57:44","2010-06-16 02:12:30",f,f,f,t
130,3,"The SXSWi talks I'm most excited about this for 2010: danah, evhead, clay, 37signals...",42,"2010-03-06 23:21:36","2010-06-13 08:18:07",f,f,f,t
250,4,"No team wins without its superstar: can Kobe pull the Lakers together for a repeat championship?",39,"2010-04-20 02:52:19","2010-06-13 10:14:19",f,f,f,t
156,,"SXSW Interactive 1994-2010: Putting the 'Start' in 'startup'.",39,"2010-03-08 06:15:35","2010-06-16 17:56:40",f,f,f,t
267,29,"Rise and fall of the NY State Governor, David Paterson, the ""first blind and black State Governor""",31,"2010-04-21 17:00:26","2010-06-15 20:11:27",f,f,f,t
266,29,"First female poised for Costa Rica presidency, joins a growing list of female national leaders.",30,"2010-04-21 16:58:47","2010-06-17 01:40:47",f,f,f,t
