id,user_id,caption,viewcount,created_at,updated_at,draft,demoted,hidden,front
155,3,@CookingForGeeks sparks a food-hacking movement and will be at SXSW.,191,3/8/10 6:12,6/12/10 10:42,f,f,f,t
288,4,Gulf of Mexico oil spill threatens to change landscape of America in more than one way,184,4/30/10 22:20,6/13/10 22:22,f,f,f,t
248,3,"Iceland eruption: We saw it coming, tourists died chasing it, yet feels like surprising shock.",179,4/19/10 18:08,6/16/10 19:18,f,f,f,t
282,67,The Arizona Immigration Bill Controversy,134,4/28/10 3:19,6/16/10 4:08,f,f,f,t
175,3,#SXSW may grill Tarantino about romantic comedy (!) coming after recent Oscar nomination.,124,3/12/10 14:15,6/12/10 17:14,f,f,f,t
157,3,Web-savvy health care professionals?  Really?  Only at #SXSW.,117,3/8/10 6:37,6/13/10 20:32,f,f,f,t
146,3,Battledecks: The SXSW improv institution since 2006.,88,3/7/10 4:05,6/15/10 8:22,f,f,f,t
271,28,The iPhone 4G controversy,84,4/22/10 5:54,6/13/10 17:29,f,f,f,t
254,29,"Korean battleship sunk in Yellow sea: ""Violation of territorial waters"" happened in disputed area?",80,4/20/10 16:58,6/15/10 21:57,f,f,f,t
330,29,US Marine base in Okinawa dispute: Is relocation imminent?,78,5/6/10 22:52,6/14/10 8:33,f,f,f,t
141,47,What's the future of Internet journalism - SXSW panel on Citizentube,77,3/7/10 3:25,6/5/10 23:14,f,f,f,t
139,3,"Social gaming at SXSW 2010: lightweight, low-fi, ridiculous, addictive, and insanely profitable.",76,3/7/10 3:04,6/11/10 0:26,f,f,f,t
286,29,"""If North Korea is involved..."" - even greater Korean tensions after a month of controversy...",70,4/30/10 0:18,6/15/10 8:57,f,f,f,t
275,3,Chinese pirate h/w often one-up originals; only a matter of time before you start preferring them?,63,4/26/10 21:00,6/7/10 6:59,f,f,f,t
301,4,"Ramping up with Ruby on Rails, tutorials for a new Rails developer",56,5/3/10 22:17,6/16/10 6:04,f,f,f,t
302,102,iPhone vs. Flash,51,5/3/10 23:24,6/16/10 6:03,f,f,f,t
153,51,Highlights from the history of SXSW from 1997 to 2010,45,3/7/10 23:57,6/16/10 2:12,f,f,f,t
130,3,"The SXSWi talks I'm most excited about this for 2010: danah, evhead, clay, 37signals...",42,3/6/10 23:21,6/13/10 8:18,f,f,f,t
250,4,No team wins without its superstar: can Kobe pull the Lakers together for a repeat championship?,39,4/20/10 2:52,6/13/10 10:14,f,f,f,t
156,,SXSW Interactive 1994-2010: Putting the 'Start' in 'startup'.,39,3/8/10 6:15,6/16/10 17:56,f,f,f,t
267,29,"Rise and fall of the NY State Governor, David Paterson, the ""first blind and black State Governor""",31,4/21/10 17:00,6/15/10 20:11,f,f,f,t
266,29,"First female poised for Costa Rica presidency, joins a growing list of female national leaders.",30,4/21/10 16:58,6/17/10 1:40,f,f,f,t
137,3,danah boyd's career trajectory - an internet sociologist on the loose in New England.,351,3/7/10 2:15,6/14/10 18:17,f,f,f,f
131,3,"SXSW events for sustainable, non-profit, do-gooder designers and social entrepreneurs",213,3/6/10 23:36,6/5/10 16:18,f,f,f,f
159,3,"@scottros of MediaBugs.org, no doubt hitting the citizen journalism talks at #SXSW.",210,3/8/10 7:36,6/10/10 16:41,f,f,f,f
207,,iPad reviews from 6 of the most popular publications: general agreement that it's a new paradigm.,200,4/4/10 23:45,6/14/10 4:12,f,f,f,f
211,71,The History of OpenSF,173,4/5/10 23:38,6/10/10 7:06,f,f,f,f
180,3,@ontheroadwithiv - 'special school bus' to speaking about Personal Branding and passion at #SXSW.,165,3/14/10 22:06,6/8/10 4:42,f,f,f,f
385,97,An overview of some key players in the CRS and Interactive Classroom Technology industry.,161,5/26/10 19:14,6/15/10 20:42,f,f,f,f
289,29,From private to public: Facebook privacy policy changed over time  (screenshot version-1),147,5/1/10 6:43,6/15/10 7:38,f,f,f,f
160,3,"A haiku for @dylan20: ""Hipsters await. Will the haikus flow? Only he knows."" #SXSW",147,3/8/10 8:03,6/12/10 19:29,f,f,f,f
290,29,From private to public: Facebook privacy policy changed over time  (screenshot version-2),124,5/1/10 17:55,6/15/10 6:20,f,f,f,f
284,71,Maintaining Privacy in the Age of Social Media: What Not To Do,115,4/28/10 7:16,6/12/10 18:23,f,f,f,f
236,90,Raising graduation standards while slashing education funding is crazy talk.,105,4/14/10 20:58,6/9/10 4:38,f,f,f,f
298,29,From private to public: Facebook privacy policy changed over time  (screenshot version-3),100,5/2/10 21:10,6/14/10 20:31,f,f,f,f
79,,Plane crash in East Palo Alto causes power outage; plane type has crash history,93,2/17/10 20:03,6/12/10 17:10,f,f,f,f
228,82,Who should pay for online universities like Wikiversity? Sustainability of donation questionable.,86,4/13/10 21:07,6/15/10 11:29,f,f,f,f
221,79,Learning in the networked world - Top class educational resources,86,4/12/10 6:51,6/11/10 13:16,f,f,f,f
229,83,Corporate e-learning: inspiration or cautionary tale?,83,4/14/10 5:17,6/14/10 15:20,f,f,f,f
348,71,Games For Social Good: An New Era Begins,82,5/18/10 4:25,6/2/10 1:47,f,f,f,f
191,3,Post-digital map design at #SXSW with @migurski.,80,3/16/10 21:12,6/5/10 16:21,f,f,f,f
342,86,How does collaborative learning happen in real-life?,76,5/12/10 17:58,6/12/10 4:57,f,f,f,f
347,82,Brain training game: Addictive for sure while effect questionable. Implication as a learning tool?,70,5/17/10 23:18,6/13/10 1:18,f,f,f,f
